title_id,title,release_date
tt6673612,Dolittle,2020-01-17
tt4154796,Avengers: Endgame,2019-04-26
tt4154756,Avengers: Infinity War,2018-04-27
tt2250912,Spider-Man: Homecoming,2017-07-07
tt3799694,The Nice Guys,2016-05-20
tt3498820,Captain America: Civil War,2016-05-06
tt2395427,Avengers: Age of Ultron,2015-05-01
tt1872194,The Judge,2014-10-10
tt2883512,Chef,2014-05-30
tt1300854,Iron Man 3,2013-05-03
tt0848228,The Avengers,2012-05-04
tt1515091,Sherlock Holmes: A Game of Shadows,2011-12-16
tt1231583,Due Date,2010-11-05
tt1228705,Iron Man 2,2010-05-07
tt0988045,Sherlock Holmes,2009-12-25
tt0821642,The Soloist,2009-04-24
tt0942385,Tropic Thunder,2008-08-13
tt0800080,The Incredible Hulk,2008-06-13
tt0371746,Iron Man,2008-05-02
tt0423977,Charlie Bartlett,2008-02-22
tt0338216,Lucky You,2007-05-04
tt0443706,Zodiac,2007-03-02
tt0422295,Fur: An Imaginary Portrait of Diane Arbus,2006-09-01
tt0405296,A Scanner Darkly,2006-07-28
tt0393735,The Shaggy Dog,2006-03-10
tt0473488,A Guide to Recognizing Your Saints,2006-10-13
tt0182576,Family Guy,1999-01-31
tt0433383,"Good Night, and Good Luck.",2005-11-04
tt0373469,Kiss Kiss Bang Bang,2005-11-18
tt0425055,Game 6,2005-01
tt0343663,Eros,2005-04-08
tt0348836,Gothika,2003-11-21
tt0314676,The Singing Detective,2003-01-17
tt0118254,Ally McBeal,1997-09-08
tt0185014,Wonder Boys,2000-02-25
tt0165643,Black & White,2000-04-05
tt0131325,Bowfinger,1999-08-13
tt0143261,Friends & Lovers,1999-04-16
tt0120710,In Dreams,1999-01-15
tt0120873,U.S. Marshals,1998-03-06
tt0119196,The Gingerbread Man,1998-01-23
tt0119327,Hugo Pool,1997-12-12
tt0124179,Two Girls and a Guy,1997-10
tt0119832,One Night Stand,1997-11-14
tt0116016,Danger Zone,1996-08-02
tt0114272,Restoration,1996-02-02
tt0113321,Home for the Holidays,1995-11-03
tt0114279,Richard III,1995-12-29
tt0110737,Only You,1994-10-07
tt0110632,Natural Born Killers,1994-08-26
tt0109969,Hail Caesar,1994-05-11
tt0108122,Short Cuts,1993-10
tt0107091,Heart and Souls,1993-08-13
tt0103939,Chaplin,1993-01-08
tt0102951,Soapdish,1991-05-31
